Sampling date(mm/dd/yyyy)	Field	Experiment number	plot number	Ntrt	NAdd(g/m2/yr)	BurnTrt	Species Name	Species Biomass (g/m2)	Maximum plant height (cm)	Median plant height (cm)	Subplot	LastYrNtrtRec
8/4/1982	A	2	29	2	3	0	Agropyron repens	87.333	57	38	Whole	1991
8/4/1982	A	2	29	2	3	0	Ambrosia artemisiifolia	58	65	47	Whole	1991
8/4/1982	A	2	30	1	0	0	Setaria lutescens	1.273	27.5	27.5	Whole	1982
8/4/1982	A	2	30	1	0	0	Berteroa incana	5.033	45	45	Whole	1982
8/4/1982	A	2	30	1	0	0	Crepis tectorum	0.247	14	12	Whole	1982
8/4/1982	A	2	30	1	0	0	Chenopodium album	9.333	53.5	53.5	Whole	1982
8/4/1982	A	2	30	1	0	0	Polygonum convolvulus	1.477	-2	-2	Whole	1982
8/4/1982	A	2	30	1	0	0	Agropyron repens	27.633	64	30	Whole	1982
8/4/1982	A	2	30	1	0	0	Digitaria ischaemum	4.767	34	20	Whole	1982
8/4/1982	A	2	30	1	0	0	Lespedeza capitata	0.01	-2	-2	Whole	1982
8/4/1982	A	2	30	1	0	0	Ambrosia artemisiifolia	59.167	61	42	Whole	1982
8/4/1982	A	2	30	1	0	0	Miscellaneous litter	0	-3	-3	Whole	1982
8/4/1982	A	2	31	8	80	0	Melilotus sp.	0.037	-2	-2	Whole	1991
8/4/1982	A	2	31	8	80	0	Mollugo verticillata	2.833	-2	-2	Whole	1991
8/4/1982	A	2	31	8	80	0	Polygonum convolvulus	46	-2	-2	Whole	1991
8/4/1982	A	2	31	8	80	0	Ambrosia artemisiifolia	140.567	34	19	Whole	1991
8/4/1982	A	2	31	8	80	0	Setaria viridis	42.933	36	20	Whole	1991
8/4/1982	A	2	31	8	80	0	Setaria lutescens	1.34	64	64	Whole	1991
8/4/1982	A	2	31	8	80	0	Miscellaneous litter	0	-3	-3	Whole	1991
8/4/1982	A	2	31	8	80	0	Agropyron repens	96.633	24	15	Whole	1991
8/4/1982	A	2	31	8	80	0	Digitaria ischaemum	6.367	52.5	29	Whole	1991
8/4/1982	A	2	32	7	50	0	Digitaria ischaemum	0.063	17.5	17.5	Whole	1991
