"scale","tscale","iter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
0.01,23,1,0.0266483708540677,-0.0659348930787036,NA,0.157818381174882,0.0436328919940074,0.0660140171961853,-0.0683373583471106,0.0610340160371172,0.102918418005722,0.102233706833195,0.0978822521133259,0.0398387274727893,0.0146292276791832,0.00307326291131292,NA,-0.0979343337218424,-0.0951410903760097,0.0499915297380323,NA,-0.00975211488790534,0.0986384148399289,0.0846047890893614,NA,0.106814598818318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,24,1,0.0254370812697919,NA,NA,0.127425471859388,0.0731562687470046,-0.0184302321867347,-0.0337244247604262,0.112012195044698,0.0945284808882652,0.0938038249419373,0.112835425045925,0.0710311705099344,-0.0212844009902496,-0.0285731208828352,NA,-0.080471895621705,-0.0259697152476041,0.0429300731291296,NA,0.022197853086997,0.0915510240556758,0.0945284808882652,NA,0.0973072881590432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,25,1,0.0118232050210279,NA,0.0847297860387204,NA,0.0876044791540115,NA,-0.0623949793604053,0.0293893332451059,0.0959158109119348,0.0940550102865391,0.104107587417775,0.0856026465398508,-0.0204330249506396,0.0204349404019885,NA,-0.181269642370015,-0.0510294451591014,0.0301368339373889,NA,0.0212327290397362,0.0863793699741349,0.0921034037197618,NA,0.0982694309128522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,26,1,0.0326149724687347,-0.0737953259904789,0.0613871720317259,NA,0.0474764284661819,NA,-0.0597951885537218,0.0609968497839078,0.0986518983639053,0.074842698040589,0.10782155311179,0.0689138257395406,-0.019647139375615,-0.0261920274759322,NA,-0.141523423145926,-0.00226788858445861,0.0224581875305286,NA,-0.00853310052691717,0.0830570865135913,0.0783416125869631,NA,0.0976528411945491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,27,1,-0.0330671429273787,-0.0702812628480751,0.0840339273000757,NA,0.0690888379236193,0.0125079161935557,-0.00729286227175817,-0.0232193465348178,0.0968503621494888,0.0833811777261665,0.0949981243504273,0.0339366937731168,-0.00826457597460035,-0.025144346376895,NA,-0.135370230835234,-0.00554529029778033,0.0277258872223978,NA,0.0284598527691257,0.0876712449678377,0.073793709803341,NA,0.0930483564435598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,28,1,-0.0317953297378642,-0.0670866599913444,NA,0.0564905645274027,0.0741496785981783,-0.0168943795045068,0.0103716756518886,0.055692775889655,0.0887466660638572,0.0742657693457084,0.0887466660638572,0.0694967910376898,0.0281591914415811,-0.0241772561316298,NA,-0.112835425045925,-0.0433750283852361,-0.00592887230104839,NA,0.0343776106162345,0.0834062469934656,0.0597848726275597,NA,0.0867052941410019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,29,1,0.0507609631167315,-0.0943066826247619,NA,0.0999123030332654,0.0678733875462337,0.0277258872223978,NA,-0.0212844009902496,0.082686043889599,0.0587844169737388,0.0922120223940182,0.0518647378198715,-0.00769460521773136,0.0106548915722882,NA,-0.152266499590813,-0.0486500594062848,-0.0463986284627914,NA,0.0263517155269683,0.0875508231399406,0.061784809283726,NA,0.0782304669420126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,30,1,-0.00476897830801866,-0.0734828580108899,0.140653946161807,0.107423093810006,0.057479925444075,-0.015594811850314,NA,0.00729286227175817,0.0809249411982684,0.0732408192445407,0.0841909548102752,0.0597253156409352,0.0112157412207071,0.0167858439016334,NA,-0.10415577696547,-0.0547260365602698,-0.0199862781405508,NA,0.050165839278146,0.0818911924273768,0.0632373328295294,NA,0.0818911924273768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,31,1,0.00937702467184972,-0.0867621480147809,0.151687744576238,0.136560568566798,0.074794955185156,-0.0150172262262283,0.0506768835413783,0.00701236756899824,0.0819023829373638,0.0726223160840805,0.0851308816004922,0.0627712951308165,7.16272919113004e-18,0.040108648613989,NA,-0.0596088115716333,-0.122322205076523,-0.0431987230515644,NA,0.040741377533582,0.0819023829373638,0.0720513619840998,NA,0.0801582790254194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,32,1,0.0373077191956949,-0.0301061284326782,0.117894347570791,0.0631388182310528,NA,-0.0392361531667182,0.0423555106722592,NA,0.0785095507492536,0.0608096921579785,0.0824705415504768,0.0470024186492585,0.0216608493924983,0.0208051436357665,NA,-0.0784723063334364,NA,-0.0186538595978474,NA,0.0162784255971311,0.0785095507492536,0.0592849995276838,NA,0.080154667420673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,33,1,0.0476098877357928,-0.0396459782111635,0.113359949587299,0.0608838604370866,NA,3.82835525732813e-18,0.0571019975196205,NA,0.0744465385703425,0.0589669742137974,0.0753002015087273,0.0487708458313364,-0.0487708458313364,-0.0202776986910443,NA,-0.0641638738177588,NA,0.0173869838946028,NA,0.0157533150939978,0.0753002015087273,0.0487708458313364,NA,0.0697753058483044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,34,1,0.0301587780013621,-0.0199862781405508,0.128080900482806,0.020901234605873,0.0452707828051065,0.0401324268108645,0.0320936915836349,0.0324247680501444,0.0722569344947442,0.0629431224557727,0.0705263315528933,0.0501396497717184,0.00536239872923397,NA,NA,-0.0732408192445406,-0.0714499345038303,NA,NA,0.0152610239973104,0.0754396869841628,0.0510176780996502,NA,0.0623606922411792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,35,1,0.0415316970955076,-0.0229302173652845,0.115537170061484,0.0664143388230069,-0.000908737966667624,-0.0130795196163924,0.0382565902846212,0.0807772535169211,0.07471313651532,0.057568657729779,0.0721636755516644,0.0511931276922301,-0.04598394035526,NA,NA,-0.0708782121721361,-0.0523733327993505,NA,NA,0.0147985687246646,0.0676321032609033,0.0594126154765667,NA,0.0638169206144884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,36,1,0.00799805045540123,-0.0356813803900471,0.101633058250682,0.019552767857107,0.020780509487289,0.0264780581371001,0.0427586204880379,0.0441701326021401,0.0719518657068285,0.0559695283483962,0.0666082020221769,0.049771096367446,0.00934645101725592,-0.00495640719301994,NA,-0.0756365040203259,-0.0729661532648416,0.0295144252762766,NA,0.0209263623302395,0.0682426603561473,0.0657534337258782,NA,0.066608202022177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,37,1,-0.00381518264641493,-0.0568899545890761,0.0616248800200555,0.069236678625138,0.0534420785533745,1.00929365875014e-17,0.02917608325785,0.02918229124513,0.0725831714932473,0.0484259316007582,0.0622320295403796,0.0460742727632007,0.0236613172257811,-0.0678195930865598,NA,-0.0455781029326143,NA,0.0542957414917592,NA,0.0139529362261124,0.0706745885955729,0.063118240968028,NA,0.0679001519993545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,38,1,NA,-0.0551121435081675,0.0950760867506379,0.0183677516233429,0.0314835709323945,-0.0323121261372973,0.0447772510424845,0.0282409270114161,0.0578216994035847,0.0578216994035847,0.0618782962411441,0.0530237636984806,0.0207488779043229,-0.0658248991722492,NA,-0.0365209744796701,NA,0.0158528382568437,NA,-0.0249428220334988,0.0661133058941083,0.0547221458336799,NA,0.0578216994035847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
